id,text,username,longtitude,latitude,created_at_local,source_clean
7.57282E+17,#pandaman food token handed out in #suicidesquad experience line.  #pandapurveyors #sdcc #wbsdcc… https://t.co/p5oB0bIJna,Michael Morris,-117.15964,32.70781,31:58.6,Instagram
7.57283E+17,Entering the suicidesquad experience #sdcc #wbsdcc #dcsdcc #jointhsquad @hardrocksd #samsung… https://t.co/tYTIyeEMbl,Michael Morris,-117.15964,32.70781,34:02.6,Instagram
7.57287E+17,Me and my crew in line for the samsungmobile suicidesquadmovie experience #sandiegocomiccon… https://t.co/YhU2Po0iUx,Aaron Ikeda,-117.15964,32.70781,49:30.7,Instagram
7.573E+17,#suicidesquad #comiccon #sandiego #usa @A13JI @ San Diego Convention… https://t.co/mvsTxU7vlc,Shartu,-117.161361,32.70686186,44:15.8,Instagram
7.57307E+17,Celebrity sighting #1 suicidesquadmovie dccomics dcnewsfeed #sandiegocomiccon #sdcc2016 #sdcc… https://t.co/XaVNowchdR,Aaron Ikeda,-117.161361,32.70686186,09:01.9,Instagram
7.57308E+17,Always thought I was more of a princess #samsung #suicidesquad experience #sdcc #wbsdcc #dcsdcc… https://t.co/Z1Sza8z7cw,Michael Morris,-117.15964,32.70781,15:08.4,Instagram
7.57316E+17,#suicidesquad #sandiegocomiccon #comiccon #sandiego @ San Diego Convention Center https://t.co/cqG88hsP5h,MALSHA,-117.161361,32.70686186,47:45.2,Instagram
7.57321E+17,Hangin with the lovely @Ekkatype at ComicCon. #sucidegirls #sg #sgsdcc @suicidegirls… https://t.co/ax3CTXQVha,scott updike,-117.1615816,32.70707812,07:57.9,Instagram
7.57323E+17,The always lovely marajade_sith. At ComicCon 2016. @suicidegirls marajade_sith_art… https://t.co/fBUiJLcoAT,scott updike,-117.1615816,32.70707812,12:28.6,Instagram
7.57339E+17,Nathan Drake x Suicide Squad #SDCC2016 😈 #Nathandrakecosplay #suicidesquadcosplay @ San Diego… https://t.co/U3Em7pyjJa,Michael & Luigi,-117.161361,32.70686186,18:59.6,Instagram
7.57341E+17,My Comic Con is complete!  #sdcc2016 #suicidegirls #blackheartburlesque @ San Diego Convention… https://t.co/PfMdE5EYZD,guapomole,-117.161361,32.70686186,25:28.9,Instagram
7.57355E+17,Yes...Yes I am! 😁#suicidesquad #comiccon @ San Diego Comic-Con… https://t.co/mOrb5h4jRE,Kerry Tollafield,-117.1618417,32.70627778,22:39.4,Instagram
7.5736E+17,"Ever
#suicidesquad #samsung #sdcc #comicon #comicon2016 #sd #worst @ Suicide Squad X Samsung https://t.co/FWcT1demVt",Dante MC,-117.1595144,32.70724913,39:18.8,Instagram
7.57371E+17,"Squad life, for life!❤️😜 #Sdcc #suicidesquad #sdcc2016 #dccomics the wall can't keep us locked… https://t.co/JNC9wqTBMw",Heidi Mae,-117.161361,32.70686186,24:17.7,Instagram
7.57371E+17,#comiccon2016 #suicidesquad #theleyvadisters @ San Diego Convention Center https://t.co/tHgaHkoHpi,Roy Loy Loy Leyva,-117.161361,32.70686186,25:08.2,Instagram
7.57409E+17,This is how we end comic con. #sdcc #sdcc2016 #suicidesquad #dccomic… https://t.co/H0sIrr3L5u,Jenny,-117.161361,32.70686186,56:52.8,Instagram
7.57412E+17,#costumes #suicidesquad #wonderwoman #75thanniversary @ San Diego Comic-Con International https://t.co/05ewEl22EE,Hiram Magallanes,-117.1618417,32.70627778,08:18.6,Instagram
7.57449E+17,#comiccon2016 #suicidesquad @ San Diego Comic-Con International https://t.co/qKkUFqoHqM,Austin Goldweight,-117.1618417,32.70627778,34:29.0,Instagram
7.57594E+17,@jaredleto #suicidesquad @ San Diego convention center ...COMIC CON! https://t.co/ecJzxjd162,Claudia Marquez,-117.1630147,32.70678373,10:21.6,Instagram
7.57656E+17,"Yes, it's Jared Leto. 😎 #myteenagedream #SDCC2016 #ConanCon #JaredLeto #suicidesquad… https://t.co/Qfep5db0mo",maa-ess,-117.162,32.7153,18:47.4,Instagram
7.57662E+17,Awkward walk. Pretty face. Love her. ❤ #caradelevingne #SDCC2016 #ConanCon #suicidesquad @… https://t.co/P8oqBc5eHy,maa-ess,-117.162,32.7153,42:35.1,Instagram
7.57677E+17,"I saw the weapons of my favorite comic book character, Harley Quinn! #harleyquinn #suicidesquad… https://t.co/YJ1QQHUMI6",Crybaby Miguel,-117.1615816,32.70707812,41:09.0,Instagram
7.57679E+17,"#suicidegirls always making #sdcc #awesome !!! @ Comicon, San Diego Convention Center https://t.co/qSWVSPCYGE",Michael Reyes,-117.1615816,32.70707812,49:49.1,Instagram
7.57683E+17,Viola Davis 😍  #SDCC2016 #ConanCon #violadavis #suicidesquad #conanobrien #comiccon #awesome @… https://t.co/TbVbWSuPOE,maa-ess,-117.162,32.7153,05:39.9,Instagram
7.57684E+17,"#dccomics #suicidesquad #harleyquinn #joker #comiccon @ Comicon, San Diego Convention Center https://t.co/Z7WafwdjPI",Joel Gonzalez,-117.1615816,32.70707812,10:07.3,Instagram
7.57723E+17,Took a pic with my queen's outfit! suicidesquadmovie @margotrobbie #suicidesquad #harleyquinn… https://t.co/xupKWyJyKH,Crybaby Miguel,-117.1618417,32.70627778,43:24.0,Instagram
7.57735E+17,#harleyquinn #cosplay #harleyquinncosplay #suicidésquad #suicidesquad #suicidesquadcosplay the… https://t.co/aVoQMAZZ8e,Manny Llanura,-117.1618417,32.70627778,31:24.2,Instagram
7.57763E+17,#greegang 😎 #suicidesquad #joker #proto #madhatter #disney #funko #originalfunko #funkopop… https://t.co/GCiKdnykc0,Scott Tha Foo 20/3,-117.1691769,32.71034138,23:59.1,Instagram
7.57776E+17,Look what I got my first official San Diego comic con massive backpack sponsoring suicide squad!… https://t.co/6N1PWJJpen,Patrick D. Jenkins,-117.028635,32.938695,13:41.3,Instagram
7.57778E+17,Celebrity sighting #4 the jokers new girlfriend @margotrobbie suicidesquadmovie dccomics… https://t.co/BMKIqhezDP,Aaron Ikeda,-117.1615816,32.70707812,21:01.8,Instagram
7.57909E+17,One of the many #harleyquinn #cosplayers at #sdcc 2016! #dccomics #suicidesquad #batman… https://t.co/ft1S9OsGEO,Age of The Nerd,-117.161361,32.70686186,01:00.3,Instagram
7.57932E+17,I'm in jail #sdcc2016 #suicidesquad @ San Diego Comic-Con International https://t.co/D9oPiQQRxD,sarah rules,-117.1618417,32.70627778,33:42.7,Instagram
7.58102E+17,#merchgame #suicidesquad #dccomics #harleyquinn #thejoker #thejokerandharleyquinn #killercroc… https://t.co/GNdoDBKF15,B&N Grossmont Center,-117.0096705,32.77867013,48:45.9,Instagram
7.5814E+17,Margot Robbie at Comic-Con #suicidesquad #sandiego #margotrobbie #hollywood @margotrobbie… https://t.co/avy2pa4FpF,Marie Burris,-117.1618417,32.70627778,22:31.2,Instagram
7.58429E+17,#suicidesquad #galaxylife #sdcc #sdcc2016 @ Hard Rock Hotel San Diego https://t.co/u8yun5gvZq,Erik Muendel,-117.15964,32.70781,28:23.1,Instagram
7.58433E+17,#harleyquinn #harleyquinncosplay #suicidesquad #suicidésquadcosplay #cosplay by artist and… https://t.co/5peaV8qyP4,Manny Llanura,-117.1598539,32.70615557,43:36.5,Instagram
7.58446E+17,"@collectsideshow booth from @comic_con! Can't wait for suicidesquadmovie!

#suicidesquad… https://t.co/b6Rr99fjBh",That Hashtag Show,-117.1618417,32.70627778,35:21.2,Instagram
